, fg_01, fg_02, fg_03, fg_04, fg_05, fg_06, fg_07, fg_08, fg_09, fg_10, fg_11, fg_12, , 
answer, 0, 0, 0.7089839333875608, 0, 0.6444737672474207, 0.6005884368238487, 0, 0.6444737672474207, 0, 0.529411741029277, 0.6011297962476218, 0, , 0.5783346693404193
choice, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8064707727741234, 0.36628852271001017, 0, , 0.16523847695440552
command, 0, 0, 0, 0, 0, 0, 0, 0, 0.6134172972718409, 0, 0.18314426135500508, 0, , 0.08261923847720276
essay, 0, 0, 0, 0, 0.4908743203297556, 0, 0, 0, 0, 0, 0.18314426135500508, 0, , 0.08261923847720276
file, 0, 0, 0, 0, 0, 0, 0.4510589420748192, 0, 0, 0, 0.16178168227734724, 0.5284980612151154, , 0.12392885771580414
line, 0, 0, 0, 0, 0, 0, 0, 0, 0.6134172972718409, 0, 0.18314426135500508, 0, , 0.08261923847720276
load, 0, 0, 0, 0, 0, 0, 0.5106193458431464, 0, 0, 0, 0.18314426135500508, 0, , 0.08261923847720276
main, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.21325312549579567, 0, , 0.04130961923860138
match, 0, 0, 0, 0, 0, 0, 0, 0.4908743203297556, 0, 0, 0.18314426135500508, 0, , 0.08261923847720276
matching, 0, 0, 0, 0, 0, 0, 0, 0.4908743203297556, 0, 0, 0.18314426135500508, 0, , 0.08261923847720276
program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.21325312549579567, 0, , 0.04130961923860138
question, 0, 0.783855926072336, 0.5527945073492616, 0.4983090297858672, 0.25124797748435923, 0.23413928963621247, 0.26135422570342254, 0.25124797748435923, 0, 0.20639106810846156, 0.09374013540248058, 0, , 0.3717865731474124
save, 0, 0, 0, 0, 0, 0, 0.5106193458431464, 0, 0, 0, 0.18314426135500508, 0, , 0.08261923847720276
sheet, 0, 0, 0, 0, 0, 0.4574483178469464, 0, 0, 0, 0, 0.18314426135500508, 0, , 0.08261923847720276
survey, 0, 0, 0, 0.7719237927872089, 0, 0.36270201359617016, 0.40486030376098947, 0, 0, 0, 0.14521157862092904, 0, , 0.16523847695440552
test, 0, 0, 0, 0, 0, 0.4574483178469464, 0, 0, 0, 0, 0.18314426135500508, 0, , 0.08261923847720276
text, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6966416827053391, , 0.04130961923860138
ui, 1.0, 0.6209427406462535, 0.43790411603773455, 0.39474266169604477, 0.1990296973356928, 0.18547680430020771, 0.20703550715107638, 0.1990296973356928, 0.4974318433870313, 0.16349565170519498, 0.14851519175730693, 0.4851599377621135, , 0.6196442885790207
written, 0, 0, 0, 0, 0.4908743203297556, 0, 0, 0, 0, 0, 0.18314426135500508, 0, , 0.08261923847720276
