, demo-design1_1, demo-design1_2, demo-design1_3, demo-design1_4, demo-design1_5, demo-design1_6, demo-design1_7, demo-design1_8, demo-design1_9, demo-design1_10, , overall
answer, 0.5849485465073215, 0.5849426973686426, 0.6270442313979118, 0.5131821977353148, 0.6270442313979118, 0, 0.680710781026226, 0, 0, 0, , 0.6181150999636871
choice, 0.37051680973393136, 0, 0, 0.8126468210429021, 0, 0, 0, 0, 0, 0, , 0.17660431427533918
command, 0.18525840486696568, 0, 0, 0, 0, 0, 0, 0, 0, 0.6022986862983145, , 0.08830215713766959
essay, 0.18525840486696568, 0, 0, 0, 0.49647620625532946, 0, 0, 0, 0, 0, , 0.08830215713766959
file, 0.16207921282358195, 0, 0, 0, 0, 0.44691062773297496, 0, 0, 0.513233634251104, 0, , 0.13245323570650439
line, 0.18525840486696568, 0, 0, 0, 0, 0, 0, 0, 0, 0.6022986862983145, , 0.08830215713766959
load, 0.18525840486696568, 0, 0, 0, 0, 0.5108239888974772, 0, 0, 0, 0, , 0.08830215713766959
main, 0.2179276411792346, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.044151078568834795
match, 0.18525840486696568, 0, 0.49647620625532946, 0, 0, 0, 0, 0, 0, 0, , 0.08830215713766959
matching, 0.18525840486696568, 0, 0.49647620625532946, 0, 0, 0, 0, 0, 0, 0, , 0.08830215713766959
program, 0.2179276411792346, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.044151078568834795
question, 0.09674074019904415, 0.241849432122487, 0.2592566621678726, 0.212179455621851, 0.2592566621678726, 0.266748981417912, 0.5628910885508313, 0.5055650575014783, 0, 0, , 0.35320862855067836
save, 0.18525840486696568, 0, 0, 0, 0, 0.5108239888974772, 0, 0, 0, 0, , 0.08830215713766959
sheet, 0.18525840486696568, 0.46314138098186813, 0, 0, 0, 0, 0, 0, 0, 0, , 0.08830215713766959
survey, 0.14410003468059335, 0.3602464844141902, 0, 0, 0, 0.39733557335044933, 0, 0.7530637265061881, 0, 0, , 0.17660431427533918
test, 0.18525840486696568, 0.46314138098186813, 0, 0, 0, 0, 0, 0, 0, 0, , 0.08830215713766959
text, 0, 0, 0, 0, 0, 0, 0, 0, 0.6900810618319814, 0, , 0.044151078568834795
ui, 0.16114450126028532, 0.20142861238850882, 0.21592653435093778, 0.17671744336208756, 0.21592653435093778, 0.222166646047139, 0.468813881006872, 0.4210688737654922, 0.5102738135298038, 0.5239013122398618, , 0.5739640213948523
written, 0.18525840486696568, 0, 0, 0, 0.49647620625532946, 0, 0, 0, 0, 0, , 0.08830215713766959
