, fg_1, fg_2, fg_3, fg_4, fg_5, fg_6, fg_7, , 
answer, 1.0, 0.31561860607599657, 0.3113748130748774, 0, 0, 0, 0, , 0.5547001962252291
choice, 0, 0.4448277790561547, 0, 0, 0, 0, 0, , 0.2773500981126146
essay, 0, 0, 0.8776932911285478, 0, 0, 0, 0, , 0.2773500981126146
form, 0, 0, 0, 1.0, 0, 0, 0, , 0.1386750490563073
interface, 0, 0, 0, 0, 0, 0, 1.0, , 0.1386750490563073
matching, 0, 0.4448277790561547, 0, 0, 0, 0, 0, , 0.2773500981126146
multiple, 0, 0.4448277790561547, 0, 0, 0, 0, 0, , 0.2773500981126146
question, 0, 0.5538678871703534, 0.36428040365976816, 0, 0, 0, 0, , 0.5547001962252291
survey, 0, 0, 0, 0, 0, 1.0, 0, , 0.1386750490563073
test, 0, 0, 0, 0, 1.0, 0, 0, , 0.1386750490563073
